NFL Team,W,L,T,PCT,PF,PA,Net Pts,Home,Road,Div,Pct,Conf,Pct,Non-Conf,Strk,Last 5
Minnesota Vikingsxz,13,3,0,0.813,382,252,130,7 - 1 - 0,6 - 2 - 0,5 - 1 - 0,0.833,10 - 2 - 0,0.833,3 - 1 - 0,3W,4 - 1 - 0
New England Patriotsxz*,13,3,0,0.813,458,296,162,6 - 2 - 0,7 - 1 - 0,5 - 1 - 0,0.833,10 - 2 - 0,0.833,3 - 1 - 0,3W,4 - 1 - 0
Philadelphia Eaglesxz*,13,3,0,0.813,457,295,162,7 - 1 - 0,6 - 2 - 0,5 - 1 - 0,0.833,10 - 2 - 0,0.833,3 - 1 - 0,1L,3 - 2 - 0
Pittsburgh Steelersxz,13,3,0,0.813,406,308,98,6 - 2 - 0,7 - 1 - 0,6 - 0 - 0,1,10 - 2 - 0,0.833,3 - 1 - 0,2W,4 - 1 - 0
Carolina Panthersx,11,5,0,0.688,363,327,36,6 - 2 - 0,5 - 3 - 0,3 - 3 - 0,0.5,7 - 5 - 0,0.583,4 - 0 - 0,1L,3 - 2 - 0
Los Angeles Ramsxz,11,5,0,0.688,478,329,149,4 - 4 - 0,7 - 1 - 0,4 - 2 - 0,0.667,7 - 5 - 0,0.583,4 - 0 - 0,1L,3 - 2 - 0
New Orleans Saintsxz,11,5,0,0.688,448,326,122,7 - 1 - 0,4 - 4 - 0,4 - 2 - 0,0.667,8 - 4 - 0,0.667,3 - 1 - 0,1L,3 - 2 - 0
Atlanta Falconsx,10,6,0,0.625,353,315,38,5 - 3 - 0,5 - 3 - 0,4 - 2 - 0,0.667,9 - 3 - 0,0.75,1 - 3 - 0,1W,3 - 2 - 0
Jacksonville Jaguarsxz,10,6,0,0.625,417,268,149,6 - 2 - 0,4 - 4 - 0,4 - 2 - 0,0.667,9 - 3 - 0,0.75,1 - 3 - 0,2L,3 - 2 - 0
Kansas City Chiefsxz,10,6,0,0.625,415,339,76,6 - 2 - 0,4 - 4 - 0,5 - 1 - 0,0.833,8 - 4 - 0,0.667,2 - 2 - 0,4W,4 - 1 - 0
Baltimore Ravens,9,7,0,0.563,395,303,92,5 - 3 - 0,4 - 4 - 0,3 - 3 - 0,0.5,7 - 5 - 0,0.583,2 - 2 - 0,1L,3 - 2 - 0
Buffalo Billsx,9,7,0,0.563,302,359,-57,6 - 2 - 0,3 - 5 - 0,3 - 3 - 0,0.5,7 - 5 - 0,0.583,2 - 2 - 0,1W,3 - 2 - 0
Dallas Cowboys,9,7,0,0.563,354,332,22,3 - 5 - 0,6 - 2 - 0,5 - 1 - 0,0.833,7 - 5 - 0,0.583,2 - 2 - 0,1W,4 - 1 - 0
Detroit Lions,9,7,0,0.563,410,376,34,4 - 4 - 0,5 - 3 - 0,5 - 1 - 0,0.833,8 - 4 - 0,0.667,1 - 3 - 0,1W,3 - 2 - 0
Los Angeles Chargers,9,7,0,0.563,355,272,83,5 - 3 - 0,4 - 4 - 0,3 - 3 - 0,0.5,6 - 6 - 0,0.5,3 - 1 - 0,2W,4 - 1 - 0
Seattle Seahawks,9,7,0,0.563,366,332,34,4 - 4 - 0,5 - 3 - 0,4 - 2 - 0,0.667,7 - 5 - 0,0.583,2 - 2 - 0,1L,2 - 3 - 0
Tennessee Titansx,9,7,0,0.563,334,356,-22,6 - 2 - 0,3 - 5 - 0,5 - 1 - 0,0.833,8 - 4 - 0,0.667,1 - 3 - 0,1W,2 - 3 - 0
Arizona Cardinals,8,8,0,0.5,295,361,-66,5 - 3 - 0,3 - 5 - 0,3 - 3 - 0,0.5,5 - 7 - 0,0.417,3 - 1 - 0,2W,3 - 2 - 0
Cincinnati Bengals,7,9,0,0.438,290,349,-59,4 - 4 - 0,3 - 5 - 0,3 - 3 - 0,0.5,6 - 6 - 0,0.5,1 - 3 - 0,2W,2 - 3 - 0
Green Bay Packers,7,9,0,0.438,320,384,-64,4 - 4 - 0,3 - 5 - 0,2 - 4 - 0,0.333,5 - 7 - 0,0.417,2 - 2 - 0,3L,2 - 3 - 0
Washington Redskins,7,9,0,0.438,342,388,-46,5 - 3 - 0,2 - 6 - 0,1 - 5 - 0,0.167,5 - 7 - 0,0.417,2 - 2 - 0,1L,2 - 3 - 0
Miami Dolphins,6,10,0,0.375,281,393,-112,4 - 4 - 0,2 - 6 - 0,2 - 4 - 0,0.333,5 - 7 - 0,0.417,1 - 3 - 0,3L,2 - 3 - 0
Oakland Raiders,6,10,0,0.375,301,373,-72,4 - 4 - 0,2 - 6 - 0,2 - 4 - 0,0.333,5 - 7 - 0,0.417,1 - 3 - 0,4L,1 - 4 - 0
San Francisco 49ers,6,10,0,0.375,331,383,-52,3 - 5 - 0,3 - 5 - 0,1 - 5 - 0,0.167,3 - 9 - 0,0.25,3 - 1 - 0,5W,5 - 0 - 0
Chicago Bears,5,11,0,0.313,264,320,-56,3 - 5 - 0,2 - 6 - 0,0 - 6 - 0,0,1 - 11 - 0,0.083,4 - 0 - 0,1L,2 - 3 - 0
Denver Broncos,5,11,0,0.313,289,382,-93,4 - 4 - 0,1 - 7 - 0,2 - 4 - 0,0.333,4 - 8 - 0,0.333,1 - 3 - 0,2L,2 - 3 - 0
New York Jets,5,11,0,0.313,298,382,-84,4 - 4 - 0,1 - 7 - 0,2 - 4 - 0,0.333,5 - 7 - 0,0.417,0 - 4 - 0,4L,1 - 4 - 0
Tampa Bay Buccaneers,5,11,0,0.313,335,382,-47,4 - 4 - 0,1 - 7 - 0,1 - 5 - 0,0.167,3 - 9 - 0,0.25,2 - 2 - 0,1W,1 - 4 - 0
Houston Texans,4,12,0,0.25,338,436,-98,3 - 5 - 0,1 - 7 - 0,1 - 5 - 0,0.167,3 - 9 - 0,0.25,1 - 3 - 0,6L,0 - 5 - 0
Indianapolis Colts,4,12,0,0.25,263,404,-141,3 - 5 - 0,1 - 7 - 0,2 - 4 - 0,0.333,3 - 9 - 0,0.25,1 - 3 - 0,1W,1 - 4 - 0
New York Giants,3,13,0,0.188,246,388,-142,2 - 6 - 0,1 - 7 - 0,1 - 5 - 0,0.167,1 - 11 - 0,0.083,2 - 2 - 0,1W,1 - 4 - 0
Cleveland Browns,0,16,0,0,234,410,-176,0 - 8 - 0,0 - 8 - 0,0 - 6 - 0,0,0 - 12 - 0,0,0 - 4 - 0,16L,0 - 5 - 0
