NFL Team,W,L,T,PCT,PF,PA,Net Pts,Home,Road,Div,Pct,Conf,Pct,Non-Conf,Strk,Last 5
Chicago Bears,15,1,0,0.938,456,198,258,8 - 0 - 0,7 - 1 - 0,8 - 0 - 0,1,12 - 0 - 0,1,3 - 1 - 0,3W,4 - 1 - 0
Miami Dolphins,12,4,0,0.75,428,320,108,8 - 0 - 0,4 - 4 - 0,6 - 2 - 0,0.75,9 - 3 - 0,0.75,3 - 1 - 0,7W,5 - 0 - 0
Los Angeles Raiders,12,4,0,0.75,354,308,46,7 - 1 - 0,5 - 3 - 0,5 - 3 - 0,0.625,9 - 3 - 0,0.75,3 - 1 - 0,6W,5 - 0 - 0
Los Angeles Rams,11,5,0,0.688,340,277,63,6 - 2 - 0,5 - 3 - 0,3 - 3 - 0,0.5,8 - 4 - 0,0.667,3 - 1 - 0,1L,3 - 2 - 0
New York Jets,11,5,0,0.688,393,264,129,7 - 1 - 0,4 - 4 - 0,6 - 2 - 0,0.75,9 - 3 - 0,0.75,2 - 2 - 0,1W,3 - 2 - 0
Denver Broncos,11,5,0,0.688,380,329,51,6 - 2 - 0,5 - 3 - 0,5 - 3 - 0,0.625,8 - 4 - 0,0.667,3 - 1 - 0,2W,3 - 2 - 0
New England Patriots,11,5,0,0.688,362,290,72,7 - 1 - 0,4 - 4 - 0,6 - 2 - 0,0.75,8 - 4 - 0,0.667,3 - 1 - 0,1W,3 - 2 - 0
Dallas Cowboys,10,6,0,0.625,357,333,24,7 - 1 - 0,3 - 5 - 0,6 - 2 - 0,0.75,7 - 5 - 0,0.583,3 - 1 - 0,1L,3 - 2 - 0
New York Giants,10,6,0,0.625,399,283,116,6 - 2 - 0,4 - 4 - 0,5 - 3 - 0,0.625,8 - 4 - 0,0.667,2 - 2 - 0,1W,3 - 2 - 0
San Francisco 49ers,10,6,0,0.625,411,263,148,5 - 3 - 0,5 - 3 - 0,4 - 2 - 0,0.667,7 - 5 - 0,0.583,3 - 1 - 0,2W,4 - 1 - 0
Washington Redskins,10,6,0,0.625,297,312,-15,5 - 3 - 0,5 - 3 - 0,4 - 4 - 0,0.5,6 - 6 - 0,0.5,4 - 0 - 0,3W,4 - 1 - 0
Green Bay Packers,8,8,0,0.5,337,355,-18,5 - 3 - 0,3 - 5 - 0,6 - 2 - 0,0.75,8 - 4 - 0,0.667,0 - 4 - 0,2W,3 - 2 - 0
Cleveland Browns,8,8,0,0.5,287,294,-7,5 - 3 - 0,3 - 5 - 0,4 - 2 - 0,0.667,7 - 5 - 0,0.583,1 - 3 - 0,1L,3 - 2 - 0
San Diego Chargers,8,8,0,0.5,467,435,32,6 - 2 - 0,2 - 6 - 0,3 - 5 - 0,0.375,7 - 7 - 0,0.5,1 - 1 - 0,1L,3 - 2 - 0
Seattle Seahawks,8,8,0,0.5,349,303,46,5 - 3 - 0,3 - 5 - 0,4 - 4 - 0,0.5,6 - 6 - 0,0.5,2 - 2 - 0,2L,2 - 3 - 0
Detroit Lions,7,9,0,0.438,307,366,-59,6 - 2 - 0,1 - 7 - 0,2 - 6 - 0,0.25,5 - 7 - 0,0.417,2 - 2 - 0,3L,1 - 4 - 0
Pittsburgh Steelers,7,9,0,0.438,379,355,24,5 - 3 - 0,2 - 6 - 0,3 - 3 - 0,0.5,6 - 6 - 0,0.5,1 - 3 - 0,1L,1 - 4 - 0
Philadelphia Eagles,7,9,0,0.438,286,310,-24,4 - 4 - 0,3 - 5 - 0,4 - 4 - 0,0.5,6 - 8 - 0,0.429,1 - 1 - 0,1W,1 - 4 - 0
Minnesota Vikings,7,9,0,0.438,346,359,-13,4 - 4 - 0,3 - 5 - 0,3 - 5 - 0,0.375,5 - 9 - 0,0.357,2 - 0 - 0,2L,2 - 3 - 0
Cincinnati Bengals,7,9,0,0.438,441,437,4,5 - 3 - 0,2 - 6 - 0,4 - 2 - 0,0.667,5 - 7 - 0,0.417,2 - 2 - 0,2L,2 - 3 - 0
Kansas City Chiefs,6,10,0,0.375,317,360,-43,5 - 3 - 0,1 - 7 - 0,3 - 5 - 0,0.375,4 - 8 - 0,0.333,2 - 2 - 0,1W,3 - 2 - 0
Indianapolis Colts,5,11,0,0.313,320,386,-66,4 - 4 - 0,1 - 7 - 0,1 - 7 - 0,0.125,2 - 10 - 0,0.167,3 - 1 - 0,2W,2 - 3 - 0
Houston Oilers,5,11,0,0.313,284,412,-128,4 - 4 - 0,1 - 7 - 0,1 - 5 - 0,0.167,4 - 8 - 0,0.333,1 - 3 - 0,4L,1 - 4 - 0
St. Louis Cardinals,5,11,0,0.313,278,414,-136,4 - 4 - 0,1 - 7 - 0,1 - 7 - 0,0.125,3 - 9 - 0,0.25,2 - 2 - 0,2L,1 - 4 - 0
New Orleans Saints,5,11,0,0.313,294,401,-107,3 - 5 - 0,2 - 6 - 0,2 - 4 - 0,0.333,5 - 7 - 0,0.417,0 - 4 - 0,3L,2 - 3 - 0
Atlanta Falcons,4,12,0,0.25,282,452,-170,3 - 5 - 0,1 - 7 - 0,3 - 3 - 0,0.5,4 - 8 - 0,0.333,0 - 4 - 0,2W,2 - 3 - 0
Buffalo Bills,2,14,0,0.125,200,381,-181,2 - 6 - 0,0 - 8 - 0,1 - 7 - 0,0.125,2 - 12 - 0,0.143,0 - 2 - 0,6L,0 - 5 - 0
Tampa Bay Buccaneers,2,14,0,0.125,294,448,-154,2 - 6 - 0,0 - 8 - 0,1 - 7 - 0,0.125,2 - 10 - 0,0.167,0 - 4 - 0,4L,1 - 4 - 0
